Date,Close
2009-01-14,28.5
2009-01-15,28.96
2009-01-16,29.28
2009-01-20,27.83
2009-01-21,29.01
2009-01-22,28.63
2009-01-23,28.77
2009-01-26,28.97
2009-01-27,29.18
2009-01-28,30.21
2009-01-29,29.44
2009-01-30,28.92
2009-02-02,29.27
2009-02-03,29.73
2009-02-04,29.77
2009-02-05,30.43
2009-02-06,31.22
2009-02-09,31.35
2009-02-10,30.2
2009-02-11,30.06
2009-02-12,30.43
2009-02-13,30.29
2009-02-17,29.08
2009-02-18,29.1
2009-02-19,28.66
2009-02-20,28.74
2009-02-23,27.73
2009-02-24,28.65
2009-02-25,28.46
2009-02-26,27.66
2009-02-27,27.4
2009-03-02,26.52
2009-03-03,26.5
2009-03-04,27.2
2009-03-05,26.39
2009-03-06,26.18
2009-03-09,25.62
2009-03-10,27.2
2009-03-11,27.62
2009-03-12,28.54
2009-03-13,28.61
2009-03-16,28.13
2009-03-17,29.19
2009-03-18,29.56
2009-03-19,29.54
2009-03-20,29.04
2009-03-23,30.76
2009-03-24,30.19
2009-03-25,30.33
2009-03-26,31.26
2009-03-27,30.68
2009-03-30,29.92
2009-03-31,30.18
2009-04-01,30.63
2009-04-02,31.61
2009-04-03,32.2
2009-04-06,32.12
2009-04-07,31.27
2009-04-08,31.8
2009-04-09,32.79
2009-04-13,32.74
2009-04-14,32.34
2009-04-15,32.25
2009-04-16,33.09
2009-04-17,33.15
2009-04-20,32.09
2009-04-21,32.54
2009-04-22,32.64
2009-04-23,32.96
2009-04-24,33.53
2009-04-27,33.57
2009-04-28,33.32
2009-04-29,33.78
2009-04-30,34.12
2009-05-01,34.21
2009-05-04,34.89
2009-05-05,34.86
2009-05-06,34.87
2009-05-07,34.05
2009-05-08,34.07
2009-05-11,34.19
2009-05-12,33.77
2009-05-13,32.87
2009-05-14,33.23
2009-05-15,33.21
2009-05-18,34.08
2009-05-19,34.24
2009-05-20,34.12
2009-05-21,33.49
2009-05-22,33.38
2009-05-26,34.63
2009-05-27,34.39
2009-05-28,34.79
2009-05-29,35.22
2009-06-01,36.22
2009-06-02,36.27
2009-06-03,36.16
2009-06-04,36.57
2009-06-05,36.61
2009-06-08,36.5
2009-06-09,36.78
2009-06-10,36.65
2009-06-11,36.65
2009-06-12,36.48
2009-06-15,35.73
2009-06-16,35.38
2009-06-17,35.72
2009-06-18,35.65
2009-06-19,35.99
2009-06-22,34.92
2009-06-23,34.84
2009-06-24,35.42
2009-06-25,36.12
2009-06-26,36.2
2009-06-29,36.28
2009-06-30,36.21
2009-07-01,36.23
2009-07-02,35.43
2009-07-03,35.59
2009-07-06,35.25
2009-07-07,34.37
2009-07-08,34.55
2009-07-09,34.61
2009-07-10,34.76
2009-07-13,35.42
2009-07-14,35.55
2009-07-15,36.75
2009-07-16,37.19
2009-07-17,37.39
2009-07-20,37.74
2009-07-21,38
2009-07-22,38.32
2009-07-23,39.17
2009-07-24,38.87
2009-07-27,39.17
2009-07-28,38.9
2009-07-29,39.16
2009-07-30,39.39
2009-07-31,39.27
2009-08-03,39.85
2009-08-04,39.85
2009-08-05,39.54
2009-08-06,39.2
2009-08-07,39.69
2009-08-10,39.42
2009-08-11,39.08
2009-08-12,39.68
2009-08-13,39.9
2009-08-14,39.45
2009-08-17,38.3
2009-08-18,38.85
2009-08-19,39.12
2009-08-20,39.57
2009-08-21,40.1
2009-08-24,40.06
2009-08-25,40.18
2009-08-26,40.11
2009-08-27,40.21
2009-08-28,40.25
2009-08-31,39.84
2009-09-01,39.1
2009-09-02,39.07
2009-09-03,39.33
2009-09-04,40.17
2009-09-08,40.55
2009-09-09,40.9
2009-09-10,41.29
2009-09-11,41.33
2009-09-14,41.49
2009-09-15,41.62
2009-09-16,42.22
2009-09-17,42.21
2009-09-18,42.24
2009-09-21,42.37
2009-09-22,42.45
2009-09-23,42.25
2009-09-24,41.87
2009-09-25,41.51
2009-09-28,42.21
2009-09-29,42.02
2009-09-30,42.05
2009-10-01,40.81
2009-10-02,40.69
2009-10-05,41.02
2009-10-06,41.74
2009-10-07,41.86
2009-10-08,42.04
2009-10-09,42.28
2009-10-12,42.37
2009-10-13,42.38
2009-10-14,42.96
2009-10-15,42.86
2009-10-16,42.58
2009-10-19,43.01
2009-10-20,43.02
2009-10-21,42.94
2009-10-22,43.11
2009-10-23,42.93
2009-10-26,42.79
2009-10-27,42.14
2009-10-28,41.2
2009-10-29,41.89
2009-10-30,40.77
2009-11-02,40.94
2009-11-03,41.07
2009-11-04,41.14
2009-11-05,42.15
2009-11-06,42.4
2009-11-09,43.31
2009-11-10,43.42
2009-11-11,43.7
2009-11-12,43.45
2009-11-13,43.81
2009-11-16,44.25
2009-11-17,44.39
2009-11-18,44.15
2009-11-19,43.46
2009-11-20,43.24
2009-11-23,43.93
2009-11-24,43.79
2009-11-25,43.97
2009-11-27,43.31
2009-11-30,43.36
2009-12-01,43.81
2009-12-02,43.86
2009-12-03,43.69
2009-12-04,43.91
2009-12-07,43.71
2009-12-08,43.44
2009-12-09,43.87
2009-12-10,44.09
2009-12-11,43.92
2009-12-14,44.34
2009-12-15,44.09
2009-12-16,44.15
2009-12-17,43.62
2009-12-18,44.25
2009-12-21,44.75
2009-12-22,45.02
2009-12-23,45.35
2009-12-24,45.77
2009-12-28,46
2009-12-29,45.82
2009-12-30,45.95
2009-12-31,45.54
2010-01-04,46.2
2010-01-05,46.2
2010-01-06,45.93
2010-01-07,45.95
2010-01-08,46.33
2010-01-11,46.14
2010-01-12,45.57
2010-01-13,46.13
2010-01-14,46.17
2010-01-15,45.64
2010-01-19,46.37
2010-01-20,45.71
2010-01-21,45.28
2010-01-22,43.95
2010-01-25,44.1
2010-01-26,44.14
2010-01-27,44.49
2010-01-28,43.35
2010-01-29,42.59
2010-02-01,43.06
2010-02-02,43.45
2010-02-03,43.69
2010-02-04,42.42
2010-02-05,42.78
2010-02-08,42.47
2010-02-09,42.91
2010-02-10,42.82
2010-02-11,43.47
2010-02-12,43.56
2010-02-16,44.11
2010-02-17,44.36
2010-02-18,44.64
2010-02-19,44.62
2010-02-22,44.53
2010-02-23,43.95
2010-02-24,44.4
2010-02-25,44.39
2010-02-26,44.55
2010-03-01,45.2
2010-03-02,45.34
2010-03-03,45.39
2010-03-04,45.54
2010-03-05,46.22
2010-03-08,46.31
2010-03-09,46.57
2010-03-10,46.95
2010-03-11,47.13
2010-03-12,47.14
2010-03-15,47.02
2010-03-16,47.32
2010-03-17,47.45
2010-03-18,47.61
2010-03-19,47.27
2010-03-22,47.7
2010-03-23,48.03
2010-03-24,47.8
2010-03-25,47.73
2010-03-26,47.78
2010-03-29,48.01
2010-03-30,48.16
2010-03-31,47.94
2010-04-01,47.94
2010-04-05,48.38
2010-04-06,48.52
2010-04-07,48.4
2010-04-08,48.51
2010-04-09,48.8
2010-04-12,48.84
2010-04-13,49.09
2010-04-14,49.68
2010-04-15,49.9
2010-04-16,49.3
2010-04-19,49.27
2010-04-20,49.52
2010-04-21,49.8
2010-04-22,50.08
